agency_id,region,agency_size,num_dsp,dsp_turnover_rate,dsp_vacancy_rate,avg_hourly_wage,starting_hourly_wage,avg_tenure_months,pct_overtime_hours,offers_health_insurance,offers_retirement_plan,offers_paid_time_off,uses_signon_bonus
AGY-0045,Finger Lakes,Medium (50-199),148,41.6,11.2,16.52,15.23,32.3,9.4,0,1,0,0
AGY-0046,New York City,Large (200+),398,31.7,14.9,22.21,20.56,40.4,9.3,1,1,0,0
AGY-0047,Mohawk Valley,Small (<50 DSPs),12,44.4,16.7,17.75,16.78,36.3,9.3,1,1,1,0
AGY-0048,Hudson Valley,Large (200+),238,43.4,17.7,21.45,19.53,39.1,8.1,1,1,1,0
AGY-0049,Long Island,Medium (50-199),134,36.3,10.1,22.69,21.23,44.6,9.9,1,0,1,0
AGY-0050,Capital Region,Small (<50 DSPs),43,49.9,16.9,18.61,17.61,36.9,13.0,0,1,1,0
AGY-0051,New York City,Large (200+),234,29.3,7.4,23.94,22.02,39.6,7.3,1,1,1,1
AGY-0052,Finger Lakes,Small (<50 DSPs),48,38.4,16.0,17.85,16.12,35.5,9.2,1,0,0,0
AGY-0053,Long Island,Medium (50-199),138,41.9,12.8,21.66,20.71,33.9,11.8,0,0,1,0
AGY-0054,Finger Lakes,Medium (50-199),186,37.3,14.0,18.64,17.48,36.6,16.5,0,0,1,0
AGY-0055,New York City,Medium (50-199),87,35.0,11.5,21.97,20.39,32.6,13.7,0,1,1,0
AGY-0056,New York City,Large (200+),719,32.2,10.7,23.73,22.89,41.5,6.2,1,1,1,0
AGY-0057,Finger Lakes,Medium (50-199),191,49.2,19.9,18.42,16.84,33.9,14.5,1,0,1,0
AGY-0058,Capital Region,Small (<50 DSPs),42,51.7,21.9,18.79,17.07,35.8,18.5,1,0,0,0
AGY-0059,Long Island,Small (<50 DSPs),10,54.1,20.6,20.31,18.87,27.2,14.7,1,1,1,0
AGY-0060,Long Island,Large (200+),622,26.7,11.2,23.17,21.35,38.0,7.7,1,0,1,0
AGY-0061,New York City,Small (<50 DSPs),35,35.5,12.9,22.28,20.49,34.0,9.2,0,1,0,0
AGY-0062,New York City,Small (<50 DSPs),11,29.2,9.7,22.95,21.93,35.2,13.8,1,1,1,0
AGY-0063,Capital Region,Small (<50 DSPs),21,55.0,10.1,18.55,17.41,34.7,17.3,0,0,1,0
AGY-0064,Southern Tier,Medium (50-199),109,49.0,16.3,17.66,16.24,43.1,12.6,1,0,1,0
AGY-0065,New York City,Large (200+),601,22.3,8.3,22.18,20.02,41.4,3.5,1,1,1,0
AGY-0066,Hudson Valley,Small (<50 DSPs),24,47.6,10.7,20.25,19.45,30.4,13.0,1,1,1,0
AGY-0067,Hudson Valley,Large (200+),429,52.6,21.8,20.93,20.12,36.4,16.7,1,0,1,0
AGY-0068,Western New York,Large (200+),665,50.9,22.4,18.87,17.64,27.8,14.2,1,1,1,1
AGY-0069,New York City,Small (<50 DSPs),37,31.9,10.1,23.22,21.7,44.0,7.1,1,1,1,0
AGY-0070,Western New York,Small (<50 DSPs),28,51.3,12.2,18.19,17.33,27.4,18.3,0,0,1,0
AGY-0071,Western New York,Medium (50-199),196,44.0,20.6,17.73,15.83,31.0,15.0,1,0,0,0
AGY-0072,Central New York,Medium (50-199),83,46.1,18.6,16.51,15.04,27.1,14.4,1,1,1,0
AGY-0073,New York City,Small (<50 DSPs),10,29.2,15.7,22.99,20.84,35.5,8.4,1,1,1,1
AGY-0074,Capital Region,Small (<50 DSPs),48,44.9,11.7,19.08,17.6,39.4,16.2,1,0,1,1
AGY-0075,New York City,Medium (50-199),166,34.5,9.8,23.82,21.76,34.9,11.1,1,0,1,1
AGY-0076,Hudson Valley,Medium (50-199),65,46.1,19.7,19.79,17.77,31.0,13.5,0,1,1,0
AGY-0077,North Country,Large (200+),216,59.5,23.0,16.1,15.26,25.7,15.2,0,1,1,0
AGY-0078,Hudson Valley,Small (<50 DSPs),35,34.5,17.0,20.13,18.48,39.6,6.5,1,0,1,0
AGY-0079,New York City,Small (<50 DSPs),22,29.9,9.8,23.93,21.74,45.5,13.7,1,1,1,0
AGY-0080,Capital Region,Medium (50-199),84,49.6,17.0,19.66,17.65,32.1,14.6,1,1,1,1
AGY-0081,Capital Region,Small (<50 DSPs),42,58.3,22.7,18.54,17.26,26.9,17.2,1,0,0,1
AGY-0082,Hudson Valley,Small (<50 DSPs),21,34.9,24.4,20.81,18.68,27.8,11.5,0,1,1,1
AGY-0083,New York City,Medium (50-199),123,23.4,6.0,22.42,20.46,52.2,13.0,1,1,1,1
AGY-0084,Western New York,Medium (50-199),126,66.1,21.6,18.71,17.74,28.5,21.6,1,0,0,0
AGY-0085,Long Island,Large (200+),392,33.4,16.6,23.07,21.35,35.4,11.6,1,1,1,1
AGY-0086,New York City,Large (200+),308,22.4,10.0,22.98,20.99,40.0,3.8,1,1,1,0
AGY-0087,Capital Region,Small (<50 DSPs),21,50.1,25.2,19.65,17.86,34.7,19.1,1,1,1,0
AGY-0088,New York City,Small (<50 DSPs),25,33.9,13.5,22.53,21.56,33.7,10.8,1,1,1,0
AGY-0089,Capital Region,Medium (50-199),145,57.6,22.2,18.9,17.94,31.8,19.6,1,1,1,0
AGY-0090,Finger Lakes,Large (200+),224,39.2,9.8,20.05,18.81,35.4,16.6,0,1,1,1
AGY-0091,Central New York,Small (<50 DSPs),14,50.2,16.4,18.26,16.87,31.7,16.7,0,1,1,1
AGY-0092,Capital Region,Small (<50 DSPs),48,54.2,21.1,18.77,16.59,25.5,15.9,0,0,1,0
AGY-0093,Southern Tier,Medium (50-199),161,53.9,15.6,17.95,15.97,28.6,18.7,1,0,1,0
AGY-0094,Long Island,Small (<50 DSPs),33,43.5,13.9,21.49,19.59,38.3,9.8,1,1,1,0
AGY-0095,Western New York,Medium (50-199),170,37.3,12.8,17.57,16.07,34.2,8.3,0,0,1,0
AGY-0096,Central New York,Small (<50 DSPs),14,46.8,17.9,17.73,16.48,29.2,11.3,1,1,0,0
AGY-0097,New York City,Medium (50-199),84,24.0,5.3,23.34,21.27,51.0,12.0,1,1,1,0
AGY-0098,Central New York,Small (<50 DSPs),36,48.8,15.6,17.92,16.86,21.9,15.0,0,0,0,0
AGY-0099,New York City,Large (200+),208,18.8,10.0,24.28,23.33,41.8,4.9,1,1,1,0
AGY-0100,Hudson Valley,Medium (50-199),133,34.7,9.5,20.93,19.38,44.6,12.9,1,1,1,1
AGY-0101,Long Island,Large (200+),293,34.6,16.9,21.28,19.39,43.2,13.9,1,1,1,0
AGY-0102,Southern Tier,Small (<50 DSPs),37,45.3,17.7,16.89,15.24,28.4,13.7,0,0,1,1
AGY-0103,New York City,Large (200+),605,29.8,8.4,24.37,22.6,29.9,11.5,1,1,1,0
AGY-0104,New York City,Small (<50 DSPs),24,36.2,18.8,22.33,20.88,40.1,10.2,0,1,1,0
AGY-0105,Long Island,Small (<50 DSPs),14,48.7,14.5,21.17,19.92,30.3,15.8,0,1,1,1
AGY-0106,Long Island,Medium (50-199),197,22.8,4.3,22.31,21.12,38.1,5.1,1,1,1,1
AGY-0107,Southern Tier,Medium (50-199),181,44.3,20.2,17.71,16.18,30.9,9.6,1,0,1,1
AGY-0108,Hudson Valley,Medium (50-199),179,45.3,18.7,19.88,18.19,37.4,16.7,1,1,0,0
AGY-0109,Capital Region,Small (<50 DSPs),22,55.9,22.7,18.06,16.25,35.0,18.2,1,0,0,0
AGY-0110,New York City,Small (<50 DSPs),47,32.4,13.0,22.41,20.58,33.1,14.1,1,1,1,0
AGY-0111,New York City,Small (<50 DSPs),43,29.1,11.8,22.55,21.27,38.7,5.7,1,0,1,0
AGY-0112,Central New York,Large (200+),233,46.5,16.2,17.84,15.91,32.3,12.3,1,1,1,0
AGY-0113,New York City,Small (<50 DSPs),46,29.6,13.8,23.48,22.16,36.4,14.9,1,1,1,0
AGY-0114,Hudson Valley,Small (<50 DSPs),43,37.9,12.1,19.9,17.85,39.0,16.4,0,1,1,0
AGY-0115,Central New York,Medium (50-199),183,46.8,12.2,18.9,18.06,33.2,12.5,1,0,0,0
AGY-0116,New York City,Large (200+),741,36.6,14.2,23.7,22.48,32.9,6.3,1,1,1,0
AGY-0117,Central New York,Small (<50 DSPs),44,55.3,13.6,17.86,16.49,26.8,20.7,1,0,0,0
AGY-0118,Hudson Valley,Medium (50-199),170,40.5,17.1,20.73,19.86,39.0,11.4,1,1,1,0
AGY-0119,New York City,Large (200+),669,28.6,12.6,24.21,22.42,31.9,9.5,1,1,1,0
AGY-0120,Mohawk Valley,Small (<50 DSPs),36,39.2,9.1,17.81,16.97,33.0,14.6,1,0,1,0
AGY-0121,Central New York,Small (<50 DSPs),46,57.0,23.9,17.12,15.61,25.8,17.9,1,0,1,1
AGY-0122,New York City,Small (<50 DSPs),42,26.7,8.0,22.3,21.26,44.7,9.0,1,1,1,1
AGY-0123,New York City,Small (<50 DSPs),23,38.6,9.4,22.76,21.65,38.7,8.7,0,0,1,0
AGY-0124,North Country,Medium (50-199),142,49.5,19.7,15.75,15.0,27.6,15.5,0,1,1,0
AGY-0125,Finger Lakes,Medium (50-199),75,53.0,18.9,17.22,15.46,29.6,17.4,1,1,1,0
AGY-0126,Capital Region,Small (<50 DSPs),28,55.0,18.3,17.67,16.17,22.3,16.4,0,1,1,0
AGY-0127,New York City,Medium (50-199),95,40.4,13.7,23.72,22.77,25.9,11.0,1,0,1,1
AGY-0128,New York City,Small (<50 DSPs),43,37.4,13.6,23.4,21.93,38.0,11.2,1,1,1,0
AGY-0129,Finger Lakes,Large (200+),815,42.1,16.3,19.98,18.31,26.2,14.0,1,1,1,0
AGY-0130,Western New York,Small (<50 DSPs),22,55.1,18.8,17.16,15.0,22.0,18.7,0,0,0,0
AGY-0131,New York City,Large (200+),752,29.1,14.9,25.44,23.54,33.8,13.3,1,1,1,0
AGY-0132,Capital Region,Small (<50 DSPs),19,51.4,17.6,19.42,17.82,27.9,15.1,1,1,1,0
AGY-0133,North Country,Medium (50-199),109,50.0,10.5,16.77,15.0,27.2,11.5,1,0,0,0
AGY-0134,New York City,Large (200+),694,33.3,11.8,23.28,21.69,31.1,14.2,1,1,1,0
AGY-0135,New York City,Medium (50-199),106,32.7,14.6,23.72,21.55,36.3,6.7,0,1,1,0
AGY-0136,Hudson Valley,Medium (50-199),194,43.5,13.5,20.84,19.23,34.0,13.5,1,1,1,0
AGY-0137,New York City,Small (<50 DSPs),17,32.4,10.6,22.96,21.32,42.2,10.3,0,1,1,0
AGY-0138,New York City,Small (<50 DSPs),30,44.3,14.9,22.11,21.21,28.8,14.6,0,1,1,0
AGY-0139,North Country,Large (200+),227,47.8,12.8,17.4,16.11,23.1,14.1,1,1,0,1
AGY-0140,Mohawk Valley,Small (<50 DSPs),8,52.2,22.8,16.78,15.0,35.9,16.5,1,0,1,0
AGY-0141,Hudson Valley,Medium (50-199),74,40.9,13.2,19.38,17.85,35.3,10.4,0,1,1,0
AGY-0142,New York City,Large (200+),667,26.0,9.9,23.66,21.72,29.8,10.1,1,1,1,0
AGY-0143,Western New York,Small (<50 DSPs),33,50.7,16.7,17.31,15.34,26.1,19.0,0,0,1,0
AGY-0144,Western New York,Small (<50 DSPs),43,53.8,22.0,17.4,15.49,27.2,12.5,1,1,1,1
AGY-0145,Western New York,Small (<50 DSPs),22,55.2,17.0,17.63,16.52,25.5,15.8,0,0,1,1
AGY-0146,Hudson Valley,Medium (50-199),151,37.1,14.1,21.45,19.29,37.7,6.5,0,1,1,0
AGY-0147,Southern Tier,Small (<50 DSPs),38,43.5,20.9,16.3,15.0,32.2,15.6,0,0,1,1
AGY-0148,New York City,Medium (50-199),181,31.0,12.6,23.85,22.79,37.8,13.8,1,1,1,1
AGY-0149,New York City,Small (<50 DSPs),23,43.6,17.0,21.6,20.66,38.4,11.3,1,1,0,0
AGY-0150,Mohawk Valley,Medium (50-199),115,47.9,14.6,18.39,16.78,27.0,12.9,0,0,1,0
AGY-0151,Capital Region,Small (<50 DSPs),27,45.6,11.0,17.22,15.08,26.6,11.2,1,1,0,0
AGY-0152,Western New York,Medium (50-199),175,40.4,15.6,19.8,17.96,33.4,19.3,0,1,1,0
AGY-0153,New York City,Small (<50 DSPs),42,46.3,16.2,21.31,19.14,36.3,11.5,0,1,1,1
AGY-0154,Finger Lakes,Medium (50-199),117,30.3,12.3,18.95,17.03,51.8,2.5,1,1,1,1
AGY-0155,Capital Region,Medium (50-199),150,52.5,18.8,18.25,17.33,30.8,13.0,1,1,1,1
AGY-0156,Western New York,Small (<50 DSPs),12,57.7,14.8,16.95,15.26,34.2,18.2,1,0,0,1
AGY-0157,Western New York,Medium (50-199),94,52.5,18.9,17.61,16.66,24.0,16.2,1,0,1,0
AGY-0158,Long Island,Large (200+),448,36.6,6.0,23.6,22.74,31.3,6.6,1,1,1,0
AGY-0159,New York City,Medium (50-199),108,31.3,12.8,21.87,19.9,33.1,6.6,1,0,1,0
AGY-0160,Hudson Valley,Medium (50-199),144,41.6,14.3,20.39,18.39,31.4,5.2,0,1,1,1
AGY-0161,Southern Tier,Small (<50 DSPs),34,35.6,10.4,17.96,16.76,32.8,10.8,0,0,0,0
AGY-0162,New York City,Small (<50 DSPs),44,32.5,9.1,23.13,21.11,44.7,9.2,0,0,1,0
AGY-0163,Capital Region,Small (<50 DSPs),19,38.5,14.1,19.16,17.74,33.6,13.3,1,1,0,1
AGY-0164,Hudson Valley,Small (<50 DSPs),23,39.0,11.8,20.61,19.64,31.5,13.5,0,1,1,1
AGY-0165,Long Island,Small (<50 DSPs),19,49.2,17.2,20.96,19.52,38.3,16.0,1,1,1,0
AGY-0166,New York City,Medium (50-199),69,30.4,18.0,23.58,21.41,49.4,6.7,1,1,1,1
AGY-0167,New York City,Medium (50-199),175,39.3,14.4,23.34,21.88,45.1,9.0,1,1,1,0
AGY-0168,New York City,Small (<50 DSPs),11,38.0,21.0,22.88,21.91,39.7,10.9,1,0,1,0
AGY-0169,Hudson Valley,Small (<50 DSPs),37,50.7,17.1,20.14,18.82,25.2,9.6,1,1,1,0
AGY-0170,New York City,Small (<50 DSPs),48,39.7,17.4,23.0,20.95,35.4,9.6,1,0,1,0
AGY-0171,Western New York,Medium (50-199),153,44.0,12.9,18.16,16.04,41.0,16.0,0,0,0,1
AGY-0172,Hudson Valley,Small (<50 DSPs),33,41.2,11.9,19.66,17.79,42.6,9.3,1,0,1,1
AGY-0173,Central New York,Small (<50 DSPs),25,43.3,16.4,17.49,16.17,32.6,16.8,0,0,0,0
AGY-0174,Hudson Valley,Small (<50 DSPs),35,38.1,14.9,20.13,18.53,37.0,7.3,1,0,0,0
AGY-0175,Southern Tier,Medium (50-199),56,56.3,20.9,17.72,15.94,31.1,14.5,1,1,1,1
AGY-0176,Capital Region,Medium (50-199),94,46.1,11.8,19.3,17.92,31.5,11.0,0,1,1,0
AGY-0177,New York City,Large (200+),877,28.6,12.0,22.07,20.46,40.5,12.5,1,1,1,0
AGY-0178,Long Island,Small (<50 DSPs),14,38.4,12.5,20.79,18.8,35.4,10.0,1,0,1,0
AGY-0179,Finger Lakes,Small (<50 DSPs),33,40.0,19.3,17.98,16.62,28.8,20.1,0,0,1,1
AGY-0180,Long Island,Small (<50 DSPs),19,46.3,18.7,22.38,21.05,40.6,10.9,1,1,1,0
AGY-0181,Western New York,Small (<50 DSPs),48,56.9,16.9,18.09,17.12,16.0,18.6,0,1,0,1
AGY-0182,Long Island,Medium (50-199),122,39.0,13.5,22.12,20.95,43.9,7.8,1,0,1,0
AGY-0183,Long Island,Medium (50-199),62,38.5,13.1,22.56,20.4,32.2,9.3,0,1,1,0
AGY-0184,New York City,Medium (50-199),70,35.8,9.6,23.26,22.17,42.0,18.0,1,1,1,0
AGY-0185,New York City,Medium (50-199),105,38.6,12.0,21.99,20.01,40.4,14.9,1,1,1,0
AGY-0186,New York City,Medium (50-199),199,23.1,2.0,23.3,21.54,43.9,3.8,1,1,1,0
AGY-0187,North Country,Large (200+),565,50.3,19.5,18.1,16.02,31.0,19.8,1,0,1,0
AGY-0188,New York City,Small (<50 DSPs),31,48.4,13.5,21.12,20.29,34.6,12.7,1,1,1,0
AGY-0189,Long Island,Medium (50-199),146,35.5,13.1,21.16,19.63,32.5,12.3,0,1,0,0
AGY-0190,Finger Lakes,Small (<50 DSPs),46,43.9,13.8,19.16,17.13,36.8,13.2,1,0,1,0
AGY-0191,Southern Tier,Large (200+),719,50.8,17.9,18.06,17.13,28.2,19.3,1,0,1,0
AGY-0192,New York City,Small (<50 DSPs),48,38.0,16.3,23.74,22.36,34.2,16.1,1,1,1,0
AGY-0193,Western New York,Medium (50-199),103,48.4,17.7,17.97,16.74,23.2,14.5,0,1,1,0
AGY-0194,Mohawk Valley,Medium (50-199),177,49.1,14.7,17.3,16.05,26.0,18.6,0,0,1,0
AGY-0195,Finger Lakes,Large (200+),413,38.3,9.5,20.5,19.3,34.0,12.7,1,0,1,0
AGY-0196,New York City,Large (200+),530,31.1,13.3,22.99,20.83,42.0,7.1,1,1,1,0
AGY-0197,North Country,Medium (50-199),181,48.0,9.8,15.67,15.0,26.4,16.3,1,0,1,0
AGY-0198,Capital Region,Medium (50-199),175,45.2,16.3,20.24,19.07,37.4,22.8,0,0,1,1
AGY-0199,Central New York,Small (<50 DSPs),41,51.5,16.9,17.32,16.35,29.0,16.6,0,0,1,0
AGY-0200,New York City,Small (<50 DSPs),35,30.2,7.7,22.44,21.29,37.0,7.5,0,0,1,0
AGY-0201,Mohawk Valley,Small (<50 DSPs),10,41.8,15.8,17.34,15.53,38.1,12.2,0,1,1,0
AGY-0202,Long Island,Medium (50-199),135,38.0,12.1,22.58,21.54,22.1,12.3,1,1,1,0
AGY-0203,Long Island,Small (<50 DSPs),48,43.1,13.8,21.24,19.95,43.9,14.1,1,1,1,0
AGY-0204,Hudson Valley,Small (<50 DSPs),12,47.0,17.3,20.4,18.37,35.5,14.2,1,0,0,0
AGY-0205,Hudson Valley,Small (<50 DSPs),42,43.4,18.9,19.76,18.85,35.7,12.2,1,0,0,1
AGY-0206,North Country,Small (<50 DSPs),43,64.7,17.8,16.3,15.48,27.1,21.1,0,0,1,1
AGY-0207,New York City,Small (<50 DSPs),15,35.1,9.4,23.79,22.45,34.6,6.6,1,1,1,1
AGY-0208,New York City,Medium (50-199),142,42.5,11.4,22.58,21.67,39.3,12.0,1,1,1,0
AGY-0209,New York City,Medium (50-199),70,29.6,13.8,22.87,21.73,43.2,12.4,0,1,1,1
AGY-0210,Western New York,Small (<50 DSPs),21,59.2,21.0,17.56,16.55,22.9,21.3,1,0,1,0
AGY-0211,Hudson Valley,Medium (50-199),156,28.8,10.8,21.64,20.08,33.6,7.8,0,0,1,0
AGY-0212,Hudson Valley,Medium (50-199),167,54.1,20.2,20.14,18.78,28.2,16.8,1,1,1,1
AGY-0213,New York City,Medium (50-199),118,23.8,13.9,22.32,20.52,42.1,8.0,1,0,1,0
AGY-0214,Mohawk Valley,Large (200+),612,45.6,14.4,17.64,15.71,37.0,13.7,1,0,1,1
AGY-0215,Western New York,Small (<50 DSPs),19,47.8,16.5,18.05,16.88,38.6,14.2,1,0,0,0
AGY-0216,Western New York,Medium (50-199),191,54.8,22.6,18.05,16.07,26.1,11.4,0,0,1,0
AGY-0217,Long Island,Medium (50-199),193,35.8,9.8,22.88,21.11,34.4,9.0,1,1,1,0
AGY-0218,Mohawk Valley,Medium (50-199),126,41.5,15.9,19.25,17.11,38.0,12.7,1,1,1,0
AGY-0219,New York City,Medium (50-199),178,31.4,8.8,22.39,20.71,34.6,9.1,1,1,1,0
AGY-0220,New York City,Large (200+),611,29.9,11.3,25.38,24.22,32.7,9.8,1,1,1,0
AGY-0221,Mohawk Valley,Medium (50-199),131,59.1,22.4,17.78,16.14,23.2,17.2,1,1,1,1
AGY-0222,New York City,Medium (50-199),65,27.6,9.2,24.28,22.1,43.3,9.9,1,1,1,0
AGY-0223,Long Island,Medium (50-199),60,23.8,8.1,24.65,22.67,38.8,10.8,1,1,1,0
AGY-0224,Mohawk Valley,Small (<50 DSPs),42,44.5,17.2,15.9,15.0,35.1,11.9,0,0,0,0
AGY-0225,New York City,Large (200+),775,38.3,8.8,22.2,20.83,31.9,12.0,1,0,1,0
AGY-0226,Mohawk Valley,Medium (50-199),118,51.3,23.3,18.62,16.57,23.3,17.1,0,0,1,0
AGY-0227,New York City,Medium (50-199),115,40.6,16.6,23.68,22.24,36.6,9.5,1,1,1,1
AGY-0228,Western New York,Small (<50 DSPs),45,50.4,19.2,18.78,17.28,25.3,16.7,1,1,0,1
AGY-0229,Finger Lakes,Small (<50 DSPs),46,33.5,12.8,17.72,16.11,35.9,6.4,1,0,0,0
AGY-0230,New York City,Medium (50-199),156,38.6,11.8,24.04,23.22,33.8,11.0,1,1,1,0
AGY-0231,Southern Tier,Medium (50-199),58,46.1,20.6,18.29,16.33,38.3,14.1,1,0,0,0
AGY-0232,Mohawk Valley,Large (200+),822,39.4,11.7,18.93,17.9,33.1,13.4,1,0,1,1
AGY-0233,New York City,Medium (50-199),121,32.0,15.0,22.6,20.63,40.0,6.9,1,1,1,0
AGY-0234,New York City,Small (<50 DSPs),19,32.9,15.9,21.16,19.78,33.0,15.1,1,1,1,0
AGY-0235,Finger Lakes,Medium (50-199),66,40.2,16.9,18.15,16.53,40.3,12.1,0,0,0,0
AGY-0236,North Country,Small (<50 DSPs),39,37.4,9.6,16.83,15.89,34.7,5.8,1,0,1,1
AGY-0237,New York City,Medium (50-199),159,30.0,12.9,23.17,21.47,37.2,8.8,1,0,1,0
AGY-0238,Hudson Valley,Medium (50-199),129,30.2,17.1,22.09,21.11,33.5,4.6,0,1,1,0
AGY-0239,Long Island,Small (<50 DSPs),46,39.5,11.4,21.98,20.11,25.3,9.4,0,0,1,0
AGY-0240,Hudson Valley,Medium (50-199),91,44.4,12.3,20.98,19.29,25.8,12.0,1,1,1,0
AGY-0241,Long Island,Medium (50-199),171,43.0,16.5,20.87,18.96,36.2,13.2,1,1,1,0
AGY-0242,Hudson Valley,Small (<50 DSPs),26,38.0,14.5,20.21,18.68,25.3,14.8,1,1,1,0
AGY-0243,Western New York,Small (<50 DSPs),25,52.5,19.5,18.6,17.08,24.3,17.5,0,0,1,1
AGY-0244,Long Island,Medium (50-199),152,36.5,12.3,22.41,21.1,33.3,12.7,1,1,1,0
AGY-0245,Western New York,Large (200+),564,59.8,19.2,17.81,15.68,23.7,18.2,1,1,1,0
AGY-0246,Capital Region,Small (<50 DSPs),11,51.3,17.6,17.83,16.41,31.3,15.3,1,1,0,0
AGY-0247,Long Island,Large (200+),238,31.6,9.5,23.35,21.5,42.5,4.8,1,1,1,0
