family_id,region,survey_type,satisfied_with_services,satisfied_case_management,involved_in_service_planning,gets_needed_information,services_meet_needs,respite_access_adequate,community_connections_support,would_recommend_services
FAM-00040,Central New York,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00041,Hudson Valley,Family/Guardian Survey,1,1,1,0,0,0,1,1
FAM-00042,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00043,Capital Region,Adult Family Survey,1,0,1,0,1,0,1,0
FAM-00044,Hudson Valley,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00045,New York City,Family/Guardian Survey,0,1,1,0,0,1,0,1
FAM-00046,Long Island,Adult Family Survey,0,1,1,0,1,1,0,1
FAM-00047,Hudson Valley,Family/Guardian Survey,0,1,1,1,0,0,0,1
FAM-00048,Western New York,Adult Family Survey,1,0,1,1,0,0,1,0
FAM-00049,Long Island,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00050,Long Island,Child Family Survey,0,1,1,1,1,0,1,1
FAM-00051,Hudson Valley,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00052,Finger Lakes,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00053,Hudson Valley,Family/Guardian Survey,1,1,1,1,0,1,0,1
FAM-00054,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,0,0,1
FAM-00055,Finger Lakes,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00056,New York City,Family/Guardian Survey,1,0,1,1,1,1,1,1
FAM-00057,Long Island,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00058,Long Island,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00059,Long Island,Family/Guardian Survey,0,1,1,1,1,1,1,1
FAM-00060,Finger Lakes,Adult Family Survey,1,1,1,0,1,1,0,1
FAM-00061,Central New York,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00062,Mohawk Valley,Child Family Survey,0,1,0,1,1,0,1,1
FAM-00063,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,0
FAM-00064,Western New York,Family/Guardian Survey,1,1,1,1,0,0,0,1
FAM-00065,New York City,Family/Guardian Survey,1,1,0,0,0,0,1,1
FAM-00066,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00067,New York City,Family/Guardian Survey,1,1,0,1,1,1,1,1
FAM-00068,New York City,Child Family Survey,1,0,1,0,1,1,0,1
FAM-00069,Capital Region,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00070,New York City,Child Family Survey,1,1,1,0,0,1,0,1
FAM-00071,Western New York,Adult Family Survey,1,1,0,0,0,1,1,1
FAM-00072,Long Island,Family/Guardian Survey,1,0,1,1,1,1,0,1
FAM-00073,Capital Region,Family/Guardian Survey,1,0,1,0,1,1,0,1
FAM-00074,Capital Region,Adult Family Survey,1,0,0,1,0,0,1,1
FAM-00075,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00076,Southern Tier,Family/Guardian Survey,0,1,1,1,1,0,1,1
FAM-00077,Mohawk Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00078,North Country,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00079,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00080,Hudson Valley,Child Family Survey,0,1,0,0,1,0,0,0
FAM-00081,New York City,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00082,New York City,Family/Guardian Survey,1,1,1,1,1,0,0,1
FAM-00083,Long Island,Family/Guardian Survey,1,1,1,1,1,1,1,0
FAM-00084,New York City,Child Family Survey,1,1,0,1,1,0,1,1
FAM-00085,Hudson Valley,Child Family Survey,1,1,0,0,1,1,1,1
FAM-00086,Hudson Valley,Adult Family Survey,0,1,0,0,1,0,1,1
FAM-00087,Finger Lakes,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00088,New York City,Child Family Survey,1,0,0,0,1,0,0,1
FAM-00089,Long Island,Adult Family Survey,1,1,1,1,0,1,1,0
FAM-00090,Southern Tier,Adult Family Survey,1,0,1,0,0,1,0,0
FAM-00091,North Country,Child Family Survey,1,1,1,1,0,0,1,1
FAM-00092,Western New York,Adult Family Survey,0,1,1,1,1,0,0,1
FAM-00093,Finger Lakes,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00094,New York City,Child Family Survey,1,1,0,0,1,1,1,1
FAM-00095,Long Island,Adult Family Survey,0,1,1,1,0,0,0,0
FAM-00096,Western New York,Adult Family Survey,0,0,1,1,1,1,0,1
FAM-00097,Capital Region,Family/Guardian Survey,1,1,1,1,0,1,1,1
FAM-00098,North Country,Child Family Survey,1,1,1,1,0,1,0,0
FAM-00099,Long Island,Adult Family Survey,1,0,1,0,0,1,1,1
FAM-00100,Hudson Valley,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00101,Southern Tier,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00102,Southern Tier,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00103,Western New York,Adult Family Survey,0,0,1,1,1,1,1,1
FAM-00104,Long Island,Family/Guardian Survey,1,1,0,1,1,0,0,1
FAM-00105,Western New York,Family/Guardian Survey,1,1,1,1,0,1,0,0
FAM-00106,Hudson Valley,Adult Family Survey,1,0,1,0,1,1,0,0
FAM-00107,Hudson Valley,Child Family Survey,1,1,0,1,1,1,1,1
FAM-00108,Western New York,Child Family Survey,0,1,1,1,1,0,1,1
FAM-00109,Long Island,Family/Guardian Survey,1,1,0,1,1,1,1,1
FAM-00110,New York City,Family/Guardian Survey,1,0,1,1,1,1,1,1
FAM-00111,Long Island,Adult Family Survey,1,1,0,0,1,1,0,1
FAM-00112,Central New York,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00113,New York City,Family/Guardian Survey,1,1,0,0,1,1,0,1
FAM-00114,New York City,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00115,New York City,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00116,Long Island,Family/Guardian Survey,1,1,1,1,0,0,1,0
FAM-00117,Western New York,Family/Guardian Survey,0,0,1,1,0,1,1,0
FAM-00118,Capital Region,Adult Family Survey,1,1,1,0,0,0,0,1
FAM-00119,Hudson Valley,Child Family Survey,1,1,1,0,1,0,0,1
FAM-00120,Southern Tier,Child Family Survey,1,1,1,1,0,1,0,1
FAM-00121,Hudson Valley,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00122,Hudson Valley,Child Family Survey,1,1,1,0,0,0,1,1
FAM-00123,Finger Lakes,Adult Family Survey,0,1,1,1,1,0,1,1
FAM-00124,Hudson Valley,Adult Family Survey,0,0,1,1,0,1,1,1
FAM-00125,New York City,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00126,Long Island,Child Family Survey,1,1,1,0,0,1,0,0
FAM-00127,Western New York,Adult Family Survey,1,0,1,1,1,0,0,1
FAM-00128,Long Island,Adult Family Survey,1,1,0,1,1,1,1,1
FAM-00129,Central New York,Family/Guardian Survey,0,0,1,0,1,1,1,1
FAM-00130,Finger Lakes,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00131,Long Island,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00132,Central New York,Adult Family Survey,1,0,0,1,1,1,0,0
FAM-00133,New York City,Family/Guardian Survey,1,0,1,1,0,1,0,1
FAM-00134,Western New York,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00135,Western New York,Child Family Survey,1,1,0,1,1,1,1,1
FAM-00136,New York City,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00137,Hudson Valley,Child Family Survey,0,1,1,1,0,0,1,1
FAM-00138,Mohawk Valley,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00139,Long Island,Adult Family Survey,1,0,1,1,1,0,1,1
FAM-00140,Hudson Valley,Child Family Survey,1,1,1,1,1,0,0,0
FAM-00141,Hudson Valley,Child Family Survey,1,0,0,1,1,0,1,1
FAM-00142,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,0
FAM-00143,New York City,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00144,Capital Region,Adult Family Survey,1,0,0,1,1,0,0,1
FAM-00145,New York City,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00146,Western New York,Child Family Survey,1,0,1,1,1,0,0,1
FAM-00147,Hudson Valley,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00148,Finger Lakes,Family/Guardian Survey,1,0,1,1,1,0,1,1
FAM-00149,New York City,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00150,Southern Tier,Adult Family Survey,1,1,1,1,0,0,0,1
FAM-00151,Long Island,Family/Guardian Survey,1,1,1,1,0,1,0,0
FAM-00152,Mohawk Valley,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00153,Long Island,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00154,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00155,Hudson Valley,Adult Family Survey,1,1,0,0,0,1,0,1
FAM-00156,North Country,Child Family Survey,1,1,1,1,0,1,1,0
FAM-00157,Finger Lakes,Family/Guardian Survey,1,0,0,0,1,0,1,1
FAM-00158,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00159,Finger Lakes,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00160,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00161,Capital Region,Child Family Survey,1,0,1,0,0,1,0,1
FAM-00162,Finger Lakes,Family/Guardian Survey,1,0,1,1,1,1,0,1
FAM-00163,New York City,Child Family Survey,1,0,1,1,0,0,1,1
FAM-00164,New York City,Child Family Survey,1,1,1,0,1,1,0,1
FAM-00165,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00166,Long Island,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00167,Hudson Valley,Child Family Survey,0,1,1,1,0,1,0,1
FAM-00168,Hudson Valley,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00169,Long Island,Adult Family Survey,1,0,0,1,1,1,1,1
FAM-00170,Long Island,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00171,Mohawk Valley,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00172,Long Island,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00173,Hudson Valley,Adult Family Survey,0,1,1,1,1,1,1,0
FAM-00174,Western New York,Child Family Survey,1,1,1,1,0,0,1,1
FAM-00175,Hudson Valley,Family/Guardian Survey,1,1,0,0,1,0,0,1
FAM-00176,New York City,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00177,Hudson Valley,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00178,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00179,Finger Lakes,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00180,New York City,Adult Family Survey,1,1,1,1,1,0,1,0
FAM-00181,Mohawk Valley,Family/Guardian Survey,1,0,1,1,0,0,0,1
FAM-00182,Capital Region,Adult Family Survey,0,1,0,0,1,1,0,1
FAM-00183,Central New York,Family/Guardian Survey,0,1,1,1,1,1,1,1
FAM-00184,Western New York,Adult Family Survey,1,1,1,0,0,1,0,1
FAM-00185,New York City,Adult Family Survey,0,1,1,1,1,1,0,1
FAM-00186,Western New York,Child Family Survey,1,0,1,1,0,1,0,0
FAM-00187,Hudson Valley,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00188,New York City,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00189,Capital Region,Family/Guardian Survey,1,1,0,0,1,0,1,1
FAM-00190,Hudson Valley,Child Family Survey,1,1,1,1,0,0,1,1
FAM-00191,Western New York,Child Family Survey,0,1,1,0,0,0,1,1
FAM-00192,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00193,Hudson Valley,Child Family Survey,0,1,1,1,1,0,1,1
FAM-00194,Central New York,Child Family Survey,0,1,0,1,0,1,1,1
FAM-00195,New York City,Adult Family Survey,1,0,1,1,1,0,0,1
FAM-00196,New York City,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00197,Long Island,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00198,Hudson Valley,Family/Guardian Survey,1,0,1,1,1,1,0,0
FAM-00199,Hudson Valley,Family/Guardian Survey,0,1,1,0,1,1,1,1
FAM-00200,Mohawk Valley,Child Family Survey,1,1,1,1,0,0,0,1
FAM-00201,Capital Region,Family/Guardian Survey,1,1,1,0,1,1,0,0
FAM-00202,Finger Lakes,Child Family Survey,1,0,1,1,1,0,1,1
FAM-00203,Long Island,Family/Guardian Survey,1,1,1,0,0,0,1,1
FAM-00204,North Country,Adult Family Survey,1,1,1,0,1,1,0,1
FAM-00205,North Country,Family/Guardian Survey,0,1,1,0,0,0,1,1
FAM-00206,Capital Region,Family/Guardian Survey,0,0,0,1,0,0,1,1
FAM-00207,New York City,Adult Family Survey,1,1,0,0,1,0,1,1
FAM-00208,Finger Lakes,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00209,New York City,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00210,New York City,Child Family Survey,1,0,1,0,1,0,0,0
FAM-00211,North Country,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00212,Mohawk Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00213,New York City,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00214,North Country,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00215,North Country,Child Family Survey,0,1,1,1,1,1,1,1
FAM-00216,New York City,Family/Guardian Survey,1,0,1,0,1,1,0,0
FAM-00217,Hudson Valley,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00218,New York City,Child Family Survey,1,1,1,1,0,0,1,1
FAM-00219,New York City,Child Family Survey,1,1,0,1,1,0,1,1
FAM-00220,Central New York,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00221,Central New York,Child Family Survey,1,1,1,1,0,0,0,1
FAM-00222,New York City,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00223,Southern Tier,Adult Family Survey,1,1,1,1,1,0,0,0
FAM-00224,Capital Region,Adult Family Survey,1,0,1,1,1,0,1,1
FAM-00225,Long Island,Family/Guardian Survey,0,1,1,0,1,0,1,1
FAM-00226,Long Island,Child Family Survey,1,0,1,1,1,0,1,1
FAM-00227,Long Island,Family/Guardian Survey,0,1,1,1,0,0,0,1
FAM-00228,Capital Region,Child Family Survey,1,1,1,0,0,1,1,0
FAM-00229,New York City,Adult Family Survey,1,1,1,1,1,0,1,1
FAM-00230,Hudson Valley,Family/Guardian Survey,1,1,0,0,0,1,0,0
FAM-00231,Long Island,Child Family Survey,1,1,0,1,1,0,0,1
FAM-00232,New York City,Child Family Survey,1,1,0,1,1,0,0,1
FAM-00233,Central New York,Child Family Survey,0,1,0,0,0,0,1,1
FAM-00234,Hudson Valley,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00235,Hudson Valley,Adult Family Survey,1,1,1,0,1,0,0,0
FAM-00236,New York City,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00237,Hudson Valley,Family/Guardian Survey,1,1,1,1,1,0,0,0
FAM-00238,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00239,New York City,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00240,Mohawk Valley,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00241,Hudson Valley,Adult Family Survey,0,1,1,1,1,1,0,0
FAM-00242,New York City,Family/Guardian Survey,1,1,1,1,0,1,1,1
FAM-00243,New York City,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00244,New York City,Adult Family Survey,1,0,1,1,1,1,1,1
FAM-00245,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00246,New York City,Adult Family Survey,1,0,1,1,1,1,1,1
FAM-00247,New York City,Family/Guardian Survey,1,0,1,1,0,1,0,0
FAM-00248,Southern Tier,Child Family Survey,0,1,1,1,1,1,1,1
FAM-00249,Capital Region,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00250,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,0
FAM-00251,New York City,Family/Guardian Survey,1,0,1,1,1,0,0,1
FAM-00252,Long Island,Child Family Survey,0,1,1,0,1,1,0,1
FAM-00253,New York City,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00254,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,0,0,1
FAM-00255,Hudson Valley,Child Family Survey,1,1,0,1,0,0,0,1
FAM-00256,Hudson Valley,Family/Guardian Survey,1,1,0,1,1,1,1,0
FAM-00257,New York City,Child Family Survey,1,0,1,1,1,1,1,1
FAM-00258,Hudson Valley,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00259,Long Island,Adult Family Survey,1,1,0,1,1,1,0,1
FAM-00260,New York City,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00261,Hudson Valley,Family/Guardian Survey,1,0,0,1,0,0,0,1
FAM-00262,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00263,Western New York,Family/Guardian Survey,1,1,0,0,1,1,1,1
FAM-00264,Western New York,Child Family Survey,1,1,1,1,1,0,0,0
FAM-00265,Long Island,Child Family Survey,1,1,0,0,1,0,0,1
FAM-00266,Finger Lakes,Child Family Survey,1,1,1,0,1,1,1,0
FAM-00267,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00268,Western New York,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00269,Western New York,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00270,North Country,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00271,New York City,Adult Family Survey,1,1,1,0,1,0,1,1
FAM-00272,New York City,Child Family Survey,1,0,1,0,1,0,0,1
FAM-00273,North Country,Child Family Survey,1,0,1,0,1,0,0,1
FAM-00274,Southern Tier,Child Family Survey,1,0,1,1,1,1,1,1
FAM-00275,New York City,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00276,Long Island,Adult Family Survey,0,1,1,0,1,0,1,0
FAM-00277,Hudson Valley,Family/Guardian Survey,0,1,1,1,0,1,1,1
FAM-00278,Western New York,Family/Guardian Survey,1,1,1,1,0,0,0,0
FAM-00279,Long Island,Family/Guardian Survey,1,1,0,1,0,0,1,1
FAM-00280,Hudson Valley,Adult Family Survey,1,0,0,0,1,0,1,0
FAM-00281,New York City,Adult Family Survey,1,1,1,1,1,1,1,0
FAM-00282,Central New York,Family/Guardian Survey,0,0,1,0,1,0,1,1
FAM-00283,Long Island,Family/Guardian Survey,1,1,1,0,1,1,0,1
FAM-00284,Long Island,Family/Guardian Survey,1,1,1,0,1,1,1,1
FAM-00285,Hudson Valley,Family/Guardian Survey,1,0,1,1,1,0,1,0
FAM-00286,Hudson Valley,Family/Guardian Survey,1,1,1,1,0,0,1,1
FAM-00287,New York City,Child Family Survey,1,1,1,1,0,0,1,1
FAM-00288,Central New York,Child Family Survey,0,1,1,1,0,0,1,0
FAM-00289,Finger Lakes,Adult Family Survey,1,0,1,0,1,0,1,1
FAM-00290,North Country,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00291,Long Island,Child Family Survey,1,0,1,1,0,1,0,1
FAM-00292,New York City,Adult Family Survey,1,1,0,1,0,1,1,1
FAM-00293,New York City,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00294,New York City,Adult Family Survey,1,1,1,1,0,1,0,1
FAM-00295,Hudson Valley,Child Family Survey,1,1,1,1,1,1,0,0
FAM-00296,Central New York,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00297,Hudson Valley,Adult Family Survey,0,1,1,0,1,1,1,1
FAM-00298,New York City,Family/Guardian Survey,0,1,1,0,1,1,0,1
FAM-00299,Finger Lakes,Adult Family Survey,1,1,1,1,1,1,1,0
FAM-00300,Capital Region,Adult Family Survey,0,1,0,1,1,1,1,1
FAM-00301,Capital Region,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00302,Hudson Valley,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00303,Hudson Valley,Child Family Survey,1,1,1,0,0,1,0,0
FAM-00304,Long Island,Child Family Survey,1,0,0,1,1,0,1,1
FAM-00305,New York City,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00306,New York City,Adult Family Survey,1,1,0,0,1,0,1,1
FAM-00307,Western New York,Family/Guardian Survey,1,0,1,1,0,0,1,0
FAM-00308,Hudson Valley,Family/Guardian Survey,1,1,0,1,1,0,0,1
FAM-00309,New York City,Family/Guardian Survey,1,1,1,0,0,1,1,1
FAM-00310,New York City,Child Family Survey,0,1,1,1,1,1,0,1
FAM-00311,New York City,Family/Guardian Survey,1,1,0,0,1,0,0,1
FAM-00312,Capital Region,Child Family Survey,1,0,0,1,1,0,1,1
FAM-00313,Central New York,Child Family Survey,1,1,1,1,0,0,1,1
FAM-00314,Hudson Valley,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00315,Capital Region,Family/Guardian Survey,1,1,0,1,1,1,1,1
FAM-00316,Hudson Valley,Adult Family Survey,0,0,1,0,1,1,0,1
FAM-00317,Finger Lakes,Family/Guardian Survey,0,1,1,0,1,0,1,1
FAM-00318,Hudson Valley,Family/Guardian Survey,1,1,0,0,0,0,1,0
FAM-00319,Central New York,Adult Family Survey,1,1,1,1,1,1,0,1
FAM-00320,Finger Lakes,Family/Guardian Survey,1,1,0,0,1,1,1,1
FAM-00321,Central New York,Family/Guardian Survey,1,1,0,0,1,1,1,1
FAM-00322,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00323,Western New York,Child Family Survey,0,1,1,1,1,0,0,1
FAM-00324,Long Island,Family/Guardian Survey,1,1,1,1,0,1,1,1
FAM-00325,Western New York,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00326,Western New York,Adult Family Survey,1,1,1,0,1,0,0,1
FAM-00327,New York City,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00328,Long Island,Adult Family Survey,1,0,1,0,1,1,1,1
FAM-00329,North Country,Adult Family Survey,1,1,0,1,1,1,1,1
FAM-00330,Finger Lakes,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00331,North Country,Family/Guardian Survey,0,1,1,0,1,1,1,1
FAM-00332,Hudson Valley,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00333,Long Island,Adult Family Survey,1,1,1,0,0,0,0,0
FAM-00334,New York City,Family/Guardian Survey,1,1,1,0,1,0,1,0
FAM-00335,New York City,Child Family Survey,1,1,0,1,1,0,1,0
FAM-00336,New York City,Family/Guardian Survey,1,1,1,0,1,0,0,1
FAM-00337,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,1,1,1
FAM-00338,Long Island,Child Family Survey,1,1,1,1,1,0,0,1
FAM-00339,Southern Tier,Child Family Survey,1,0,0,0,1,0,1,1
FAM-00340,Long Island,Family/Guardian Survey,0,1,1,1,0,0,1,0
FAM-00341,New York City,Family/Guardian Survey,0,1,1,0,1,1,1,1
FAM-00342,Capital Region,Child Family Survey,0,0,0,1,1,1,1,0
FAM-00343,Finger Lakes,Family/Guardian Survey,1,1,1,1,0,1,1,0
FAM-00344,Western New York,Child Family Survey,0,1,0,0,0,1,1,0
FAM-00345,Long Island,Child Family Survey,1,0,1,1,1,1,0,1
FAM-00346,New York City,Child Family Survey,1,1,1,0,1,0,0,1
FAM-00347,Capital Region,Family/Guardian Survey,1,1,1,0,1,1,0,0
FAM-00348,Central New York,Family/Guardian Survey,0,1,1,1,0,0,1,0
FAM-00349,Hudson Valley,Family/Guardian Survey,1,1,1,1,0,1,1,0
FAM-00350,Western New York,Adult Family Survey,0,0,1,0,0,0,1,1
FAM-00351,New York City,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00352,New York City,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00353,New York City,Child Family Survey,1,1,1,1,1,1,1,1
FAM-00354,Hudson Valley,Family/Guardian Survey,0,0,1,1,1,1,1,1
FAM-00355,Hudson Valley,Family/Guardian Survey,1,1,1,0,0,1,1,1
FAM-00356,Finger Lakes,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00357,Capital Region,Family/Guardian Survey,0,1,0,1,1,0,0,0
FAM-00358,New York City,Family/Guardian Survey,1,1,1,1,1,1,0,1
FAM-00359,North Country,Child Family Survey,1,1,1,1,0,1,1,1
FAM-00360,Western New York,Family/Guardian Survey,1,1,1,1,1,0,0,1
FAM-00361,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,1,1,0
FAM-00362,Capital Region,Child Family Survey,1,1,1,0,1,0,0,1
FAM-00363,New York City,Family/Guardian Survey,1,1,1,0,1,0,0,1
