family_id,region,survey_type,indicator_key,value,indicator
FAM-00031,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00032,Hudson Valley,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00033,Southern Tier,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00034,Central New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00035,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00036,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00037,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00038,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00039,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00040,Central New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00041,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00042,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00043,Capital Region,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00044,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00045,New York City,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00046,Long Island,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00047,Hudson Valley,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00048,Western New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00049,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00050,Long Island,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00051,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00052,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00053,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00054,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00055,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00056,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00057,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00058,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00059,Long Island,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00060,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00061,Central New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00062,Mohawk Valley,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00063,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00064,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00065,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00066,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00067,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00068,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00069,Capital Region,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00070,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00071,Western New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00072,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00073,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00074,Capital Region,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00075,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00076,Southern Tier,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00077,Mohawk Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00078,North Country,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00079,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00080,Hudson Valley,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00081,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00082,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00083,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00084,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00085,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00086,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00087,Finger Lakes,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00088,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00089,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00090,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00091,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00092,Western New York,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00093,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00094,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00095,Long Island,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00096,Western New York,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00097,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00098,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00099,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00100,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00101,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00102,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00103,Western New York,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00104,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00105,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00106,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00107,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00108,Western New York,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00109,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00110,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00111,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00112,Central New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00113,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00114,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00115,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00116,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00117,Western New York,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00118,Capital Region,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00119,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00120,Southern Tier,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00121,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00122,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00123,Finger Lakes,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00124,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00125,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00126,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00127,Western New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00128,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00129,Central New York,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00130,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00131,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00132,Central New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00133,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00134,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00135,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00136,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00137,Hudson Valley,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00138,Mohawk Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00139,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00140,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00141,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00142,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00143,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00144,Capital Region,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00145,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00146,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00147,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00148,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00149,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00150,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00151,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00152,Mohawk Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00153,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00154,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00155,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00156,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00157,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00158,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00159,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00160,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00161,Capital Region,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00162,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00163,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00164,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00165,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00166,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00167,Hudson Valley,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00168,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00169,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00170,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00171,Mohawk Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00172,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00173,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00174,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00175,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00176,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00177,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00178,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00179,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00180,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00181,Mohawk Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00182,Capital Region,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00183,Central New York,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00184,Western New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00185,New York City,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00186,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00187,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00188,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00189,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00190,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00191,Western New York,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00192,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00193,Hudson Valley,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00194,Central New York,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00195,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00196,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00197,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00198,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00199,Hudson Valley,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00200,Mohawk Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00201,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00202,Finger Lakes,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00203,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00204,North Country,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00205,North Country,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00206,Capital Region,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00207,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00208,Finger Lakes,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00209,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00210,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00211,North Country,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00212,Mohawk Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00213,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00214,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00215,North Country,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00216,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00217,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00218,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00219,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00220,Central New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00221,Central New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00222,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00223,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00224,Capital Region,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00225,Long Island,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00226,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00227,Long Island,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00228,Capital Region,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00229,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00230,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00231,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00232,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00233,Central New York,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00234,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00235,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00236,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00237,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00238,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00239,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00240,Mohawk Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00241,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00242,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00243,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00244,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00245,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00246,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00247,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00248,Southern Tier,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00249,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00250,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00251,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00252,Long Island,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00253,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00254,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00255,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00256,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00257,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00258,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00259,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00260,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00261,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00262,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00263,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00264,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00265,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00266,Finger Lakes,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00267,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00268,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00269,Western New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00270,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00271,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00272,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00273,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00274,Southern Tier,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00275,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00276,Long Island,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00277,Hudson Valley,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00278,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00279,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00280,Hudson Valley,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00281,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00282,Central New York,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00283,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00284,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00285,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00286,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00287,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00288,Central New York,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00289,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00290,North Country,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00291,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00292,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00293,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00294,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00295,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00296,Central New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00297,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00298,New York City,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00299,Finger Lakes,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00300,Capital Region,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00301,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00302,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00303,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00304,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00305,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00306,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00307,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00308,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00309,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00310,New York City,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00311,New York City,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00312,Capital Region,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00313,Central New York,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00314,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00315,Capital Region,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00316,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00317,Finger Lakes,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00318,Hudson Valley,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00319,Central New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00320,Finger Lakes,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00321,Central New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00322,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00323,Western New York,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00324,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
